timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297843.142275,traffic,in,TCP,20.50.88.238,10.129.9.167,443,64318,67,109,24,16386,27,0.378,10.129.9.167:64318-20.50.88.238:443-TCP
1777297843.142557,traffic,in,TCP,10.129.9.167,20.50.88.238,64318,443,40,128,16,252,0,0.283,10.129.9.167:64318-20.50.88.238:443-TCP
1777297843.142816,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,40,239,16,1015,0,1.256,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.143162,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,386,239,24,66,346,0.346,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.14358,traffic,in,TCP,10.129.9.167,140.82.112.21,51348,443,52,128,16,255,0,0.417,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.143945,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,1290,239,16,66,1250,0.365,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.144234,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,1290,239,24,66,1250,0.289,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.144434,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,1290,239,16,66,1250,0.2,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.14465,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,1290,239,16,66,1250,0.216,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.144887,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,653,239,24,66,613,0.237,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.145057,traffic,in,TCP,10.129.9.167,140.82.112.21,51348,443,52,128,16,255,0,0.17,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.145221,traffic,in,TCP,10.129.9.167,140.82.112.21,51348,443,52,128,16,255,0,0.165,10.129.9.167:51348-140.82.112.21:443-TCP
